Airdate,Animation,Animation Supervisor,Copyright year,Creative,Episode №,Guest(s),Line Producer,Main,Next,Previous,Production code,Running time,Season №,Sister episode(s),Storyboard,Storyboard Artist(s),Supervising,Supervising Producer(s),Technical,U.S. premiere time (ET),U.S. viewers (millions),Writer(s),characters,title
"June 5, 2007",Alan Smart,,2006,Vincent Waller,84c,,,,"""New Digs""","""Boat Smarts""",151-508-7 (508a),7 minutes,5,"['""Spy Buddies""', '""Boat Smarts""']","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,5:19 pm,4.93,"['Casey Alexander', 'Zeus Cervas', 'Dani Michaeli (American TV airings, digital releases, and streaming services)', 'Richard Pursel (DVD releases and international non-US airings)']","Eugene H. Krabs, SpongeBob SquarePants, Squidward Tentacles, Incidentals, Incidental 14, Incidental 60, Incidental 47, Incidental 45, Lenny, Incidental 64, Incidental 27, Incidental 48, Incidental 37A, Dale, Incidental 107, Incidental 105, Incidental 42, Incidental 106, Incidental 49, Scooter, Incidental 82, Incidental 87, Incidental 41, Incidental 7, Mr. What Zit Tooya, Incidental 118, Patrick Star, King Neptune",Good Ol' Whatshisname
"June 5, 2007",Andrew Overtoom,,2006,Vincent Waller,85a,,,,"""Krabs à la Mode""","""Good Ol' Whatshisname""",151-510,11 minutes,5,"""Krabs à la Mode""","['Nate Cash', 'Tuck Tucker']",,,Paul Tibbitt,,5:00 pm,3.90,"['Nate Cash', 'Tuck Tucker', 'Richard Pursel']","Gary the Snail, SpongeBob SquarePants, Scallops and clams, Eugene H. Krabs, Squidward Tentacles, Harold SquarePants, Margaret SquarePants, Patrick Star, Incidentals, Incidental 48, Incidental 7, Incidental 150, Incidental 40, Incidental 102, Incidental 63, Incidental 107, Fred, Incidental 41, Incidental 12, Harold, Lenny, Incidental 27, Incidental 37A, Billy, John, Incidental 60, Trucker, Shelley, King Neptune",New Digs
"June 5, 2007",Tom Yasumi,,2006,Vincent Waller,85b,,,,"""Roller Cowards""","""New Digs""",151-509,11 minutes,5,"""New Digs""","['Luke Brookshier', 'Tom King']",,,Paul Tibbitt,,5:15 pm,3.90,"['Luke Brookshier', 'Tom King', 'Eric Shaw']","French Narrator, Squidward Tentacles, SpongeBob SquarePants, Eugene H. Krabs, Incidentals, Incidental 31, Incidental 42, Incidental 14, Fred, Incidental 40, Incidental 27, Incidental 13, Incidental 41, Incidental 60, Incidental 49, Incidental 45, Incidental 8, Incidental 37B, Incidental 102, Incidental 103, Incidental 107, Incidental 150, Incidental 153, Incidental 152, Incidental 151, Old Man Walker, Incidental 30A, Incidental 36, Incidental 119, Incidental 104, Incidental 48, Incidental 64, Sheldon J. Plankton, Santa Claus, Karen Plankton, Bikini Bottom Hockey Team, Patrick Star, Gary the Snail, Mrs. Puff, Scallop",Krabs à la Mode
"June 5, 2007",Alan Smart,,2006,Vincent Waller,86a,,,,"""Bucket Sweet Bucket""","""Krabs à la Mode""",151-512,"10 minutes, 48 seconds",5,"""Bucket Sweet Bucket""","['Luke Brookshier', 'Tom King']",,,Paul Tibbitt,,5:00 pm,3.03,"['Luke Brookshier', 'Tom King', 'Steven Banks']","SpongeBob SquarePants, Delicious dairy treat, Gary the Snail, Patrick Star, Commercial voice-over, Grim Reaper, Glovey Glove, Larry the Lobster, Alternate-Universe Patrick, Incidentals, Incidental 107, Incidental 106, Incidental 40, Incidental 7, Incidental 41, Incidental 8, Incidental 37B, Nerd 1, Incidental 37A, Incidental 45, Old Man Walker, Incidental 159, Incidental 16, Charlie, Incidental 14, Incidental 42, Incidental 92, Incidental 6, Incidental 103, Incidental 152, Incidental 60, Incidental 36, Fred, Steven, Incidental 30, Incidental 64, Incidental 155, Scooter, Incidental 49, Incidental 27, Incidental 153, Incidental 151, Incidental 102, Incidental 68, Incidental 105, Incidental 48, Incidental 69, Incidental 3, John, Incidental 46, Incidental 108, Nerd 2",Roller Cowards
"June 5, 2007",Larry Leichliter,,2006,Vincent Waller,86b,,,,"""To Love a Patty""","""Roller Cowards""",151-511,11 minutes,5,"""Roller Cowards""","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,5:15 pm,3.03,"['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']","Sheldon J. Plankton, Karen Plankton, Patrick Star, SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Incidentals, Incidental 119, Incidental 48, Incidental 105, Incidental 67, Incidental 114, Incidental 63, Incidental 47",Bucket Sweet Bucket
"July 26, 2007",Andrew Overtoom,,2006,Vincent Waller,87a,,,,"""Breath of Fresh Squidward""","""Bucket Sweet Bucket""",151-514,"10 minutes, 54 seconds",5,"""Breath of Fresh Squidward""","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,5:00 pm,3.68,"['Casey Alexander', 'Zeus Cervas', 'Eric Shaw']","SpongeBob SquarePants, Patty, Squidward Tentacles, Tough guy fish, Mohawk brute 1, Therapist, Gary the Snail, Patrick Star, Sandy Cheeks, Incidentals, Incidental 24, Incidental 14, Incidental 106, Incidental 63, Incidental 103, Incidental 36, Scallops, [1], Jellyfish, Eugene H. Krabs",To Love a Patty
"June 5, 2007",Tom Yasumi,,2006,Vincent Waller,87b,,,,"""Money Talks""","""To Love a Patty""",151-513,"11 minutes, 18 seconds",5,"""To Love a Patty""","['Nate Cash', 'Tuck Tucker']",,,Paul Tibbitt,,5:15 pm,3.68,"['Nate Cash', 'Tuck Tucker', 'Richard Pursel']","Squidward Tentacles, Happy gland, Patrick Star, SpongeBob SquarePants, French Narrator, Seahorse, Eugene H. Krabs, Incidentals, Incidental 37B, Incidental 48, Incidental 2, Incidental 69, Incidental 31, Incidental 108, Incidental 104, Incidental 107, Incidental 37A, Incidental 40, Incidental 67, Incidental 27, Incidental 68, Incidental 7, Incidental 41, Incidental 60, Incidental 46, Incidental 47, Incidental 45, Incidental 151, Incidental 49, Incidental 6, Incidental 153, Incidental 42, Fred, Incidental 36, Incidental 106, Incidental 92, Incidental 155, Sandals, Incidental 64",Breath of Fresh Squidward
"July 31, 2007",Alan Smart,,2007,Vincent Waller,88a,Brian Doyle-Murray as Flying Dutchman,,,"""SpongeBob vs. The Patty Gadget""","""Breath of Fresh Squidward""",151-515-7 (515a),7 minutes,5,"['""SpongeBob vs. The Patty Gadget""', '""Slimy Dancing""']","['Luke Brookshier', 'Tom King']",,,Paul Tibbitt,,5:04 pm,3.46,"['Luke Brookshier', 'Tom King', 'Dani Michaeli']","SpongeBob SquarePants, Eugene H. Krabs, Squidward Tentacles, Incidentals, Old Man Walker, Mary, Business man, Incidental 107, Harold, Nat, Incidental 27, Incidental 48, Fred, Incidental 60, Incidental 49, Incidental 13, ghosts, Ghost 1, Ghost 2, Ghost 5, Ghost 6, Unknown ""Ghost"" 1, Unknown ""Ghost"" 2, Unknown ""Ghost"" 3, Unknown ""Ghost"" 4, Patrick Star, Flying Dutchman, Talking money, Incidental K1's mother",Money Talks
"July 31, 2007",Alan Smart,,2007,Vincent Waller,88b,Paul Tibbitt as King Neptune,,,"""Slimy Dancing""","""Money Talks""",151-515-4 (515b),4 minutes,5,"['""Money Talks""', '""Slimy Dancing""']",Luke Brookshier,,,Paul Tibbitt,,5:00 pm,3.46,"['Luke Brookshier', 'Richard Pursel']","Patchy the Pirate, SpongeBob SquarePants, Patrick Star, Sandy Cheeks, Patty Gadget, Squidward Tentacles, Eugene H. Krabs, Incidentals, Anchovies, Incidental 114, Incidental 115, Incidental 48, Incidental 69, Incidental 92, Don the Whale, Incidental 14, Steven, Incidental 37A, Incidental 67, Incidental 5, Incidental 37B, Incidental 102, Incidental 41, Incidental 60, Incidental 46, Incidental 49, Incidental 73, Incidental 152, Incidental 45, Incidental 103, Charlie, Carol, Incidental 47, Sandals, Incidental 64, Incidental 108, Incidental 105, Incidental 107, Incidental 12, King Neptune",SpongeBob vs. The Patty Gadget
"July 31, 2007","['Tom Yasumi', 'Andrew Overtoom (initially or uncredited)']",,2007,Vincent Waller,88c,"Mark Fite as Trainer, Fish #1, and Octopus",,,"""The Krusty Sponge""","""SpongeBob vs. The Patty Gadget""",151-516,"10 minutes, 52 seconds",5,"['""Money Talks""', '""SpongeBob vs. The Patty Gadget""']","['Nate Cash', 'Tuck Tucker']",,,Paul Tibbitt,,5:15 pm,3.46,"['Nate Cash', 'Tuck Tucker', 'Richard Pursel']","Squidward Tentacles, Patrick Star, SpongeBob SquarePants, Incidentals, Incidental 48, Incidental 13, Incidental 24, Incidental 106, Incidental 45, Charlie, Incidental 2, Incidental 65, Incidental 69, Dale, Incidental 42, Incidental 104, Incidental 14, Steven, Incidental 105, Incidental 107, Incidental 37A, Incidental 40, Incidental 27, Incidental 7, Incidental 60, Incidental 46, Incidental 47, Incidental 30, Incidental 67, Carol, Incidental 37B, Incidental 41, Incidental 91, Incidental 73, Incidental 64, Incidental 9, Incidental 31, Incidental 3, Fred, Incidental 1D, Incidental 49, Incidental 150, Incidental 92, Incidental 21, Incidental 36, Incidental 18, Incidental 68, Incidental 82, Mary, Incidental 17, Sandals, Incidental 6, Incidental 12, John, Incidental 63, Incidental 81, Incidental 103, Old Man Walker, Judge 1, Judge 2, Judge 3, Tutu whale, Unnamed purple fish, Pedro, French Narrator, Eugene H. Krabs, King Neptune",Slimy Dancing
"July 24, 2007",Andrew Overtoom,,2007,Vincent Waller,89a,"['Gene Shalit as Gene Scallop', 'Mark Fite as Customer #3, Passenger #1, and Bailiff']",,,"""Sing a Song of Patrick""","""Slimy Dancing""",151-519,"10 minutes, 49 seconds",5,"""Sing a Song of Patrick""",Aaron Springer,,,Paul Tibbitt,,5:00 pm,3.91,"['Aaron Springer', 'Eric Shaw']","Squidward Tentacles, King Neptune, SpongeBob SquarePants, Eugene H. Krabs, Gene Scallop, Bob Preflumster, Barbara, Incidentals, Musician 3, Incidental 108, Incidental 27, Incidental 41, Incidental 31, Incidental 42, Incidental 14, Incidental 67, Incidental 47, Incidental 46, Incidental 49, Incidental 40, Fred, Incidental 37B, Incidental 105, Incidental 107, Incidental 30, Incidental 30A, Incidental 65, Incidental 37A, Incidental 6, Incidental 63, Incidental 45, Incidental 2, Incidental 3, Incidental 8, Incidental 106, Incidental 13, Incidental 12, John, Steven, Incidental 9, Incidental 25, Incidental 64, Incidental 10, Incidental 68, Incidental 73, Incidental 93, Sandals, Incidental 151, Incidental 48, Incidental 150, Incidental 36, Incidental 152, Incidental 102, Incidental 69, Charlie, Incidental 104, Incidental 92, Incidental 155, Incidental 84, Old Man Walker, Incidental 17, Scooter, Incidental 153, Incidental 7, Incidental 60, Incidental 85, Incidental 119, Incidental 94, Incidental 21, Prison guard 2, Mrs. Tentacles, Horace A. Whopper",The Krusty Sponge
"February 19, 2007",Alan Smart,,2007,Vincent Waller,89b,"['Mark Fite as Coach, Bassist, and Pitchfork Vendor', 'Zachary Thorne as Fish #1, Fish #5, and Torch Vendor']",,,"""A Flea in Her Dome""","""The Krusty Sponge""",151-520,11 minutes,5,"""The Krusty Sponge""","['Luke Brookshier', 'Tom King']",,,Paul Tibbitt,,8:15 pm,5.34,"['Luke Brookshier', 'Tom King', 'Steven Banks']","Near Mint Comic Books cashier, Patrick Star, SpongeBob SquarePants, Gary the Snail, Coach, Squidward Tentacles, French Narrator, Unnamed band, Margie Star, Harold SquarePants, Margaret SquarePants, Incidentals, Incidental 31, Dale, Incidental 42, Steven, Incidental 105, Incidental 20, Incidental 27, Incidental 64, Lenny, Incidental 13, Incidental 107, Incidental 14, Harold, Incidental 48, Incidental 92, Sandals, Scooter, Incidental 155, Harris, nerds, Incidental 41, Incidental 118, Incidental 37A, Incidental 37B, Old Man Walker, Tom, Fred, Incidental 1B, Incidental 46, Incidental 39, Incidental 40, Incidental 102, Incidental 103, Incidental 106",Sing a Song of Patrick
"August 1, 2007",Andrew Overtoom,,2007,Vincent Waller,90a,,,,"""The Donut of Shame""","""Sing a Song of Patrick""",151-522,"10 minutes, 50 seconds",5,"['""The Donut of Shame""', '""The Krusty Plate""']","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,5:00 pm,2.77,"['Casey Alexander', 'Zeus Cervas', 'Steven Banks']","SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Margie Star, Sandy Cheeks, Fleas, Incidentals, Incidental 41, Incidental 14, Incidental 15, Incidental 17, Incidental 82, Incidental 48, Charlie, Incidental 10, Incidental 107, Incidental 27, Incidental 46, Incidental 49, Incidental 6, Incidental 92, Incidental 155, Fred, Incidental 108, Incidental F18, Incidental 21, Incidental 63, Incidental 105, Incidental 64, Incidental 106, Incidental 37A, Incidental 45, Incidental 73, Incidental 2, Incidental 158, Incidental 104, Incidental 67, Incidental 37B, Incidental 13, Incidental 7, Incidental 60, Old Man Walker, Incidental 153, Incidental 152, Incidental 151",A Flea in Her Dome
"August 1, 2007",Tom Yasumi,,2007,Vincent Waller,90b,,,,"""The Krusty Plate""","""A Flea in Her Dome""",151-521-7 (521a),"7 minutes, 9 seconds",5,"['""A Flea in Her Dome""', '""The Krusty Plate""']",Nate Cash,,,Paul Tibbitt,,5:15 pm,2.77,"['Nate Cash', 'Dani Michaeli']","Patrick Star, SpongeBob SquarePants, Gary the Snail, Angel donut, Devil donut",The Donut of Shame
"August 1, 2007",Tom Yasumi,,2007,Vincent Waller,90c,,,,"""Goo Goo Gas""","""The Donut of Shame""",151-521-4 (521b),4 minutes,5,"['""A Flea in Her Dome""', '""The Donut of Shame""']",Tuck Tucker,,,Paul Tibbitt,,5:22 pm,2.77,"['Tuck Tucker', 'Eric Shaw']","Incidentals, Incidental 104, Incidental 41, Eugene H. Krabs, SpongeBob SquarePants",The Krusty Plate
"December 13, 2007",Alan Smart,,2007,Vincent Waller,91a,,,,"""Le Big Switch""","""The Krusty Plate""",151-523,"10 minutes, 51 seconds",5,"""Le Big Switch""","['Luke Brookshier', 'Tom King']",,,Paul Tibbitt,,7:00 pm,4.85,"['Luke Brookshier', 'Tom King', 'Dani Michaeli']","SpongeBob SquarePants, Sheldon J. Plankton, Eugene H. Krabs, Karen Plankton, Squidward Tentacles, Patrick Star, King Neptune, Baby fish, Mama Plankton, Billy, Amoeba, Incidentals, Incidental 2, Incidental 2Baby, Incidental 4, Tom, Incidental 6Baby, Incidental 7, Incidental 7Baby, Incidental 8, Incidental 20, Incidental 37A, Incidental 40Baby, Incidental 41, Incidental 41Baby, Incidental 42, Incidental 45, Incidental 47, Incidental 47Baby, Incidental 49, Incidental 63, Incidental 63Baby, Incidental 64, Incidental 64Baby, Billy, Incidental 67, Harris, Incidental 81, Incidental 82, Old Man Walker, Mabel, Incidental 85, Mary, Incidental 92, Incidental 93, Incidental 104, Incidental 105, Incidental 107, Incidental 107Baby, Incidental 118, Incidental 118D, Incidental 151, Incidental 151Baby",Goo Goo Gas
"September 29, 2007",Tom Yasumi,,2007,Vincent Waller,91b,,,,"""Atlantis SquarePantis""","""Goo Goo Gas""",151-524,11 minutes,5,"""Goo Goo Gas""","['Nate Cash', 'Tuck Tucker']",,,Paul Tibbitt,,8:45 pm,2.26,"['Nate Cash', 'Tuck Tucker', 'Richard Pursel']","SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Mr. Le Schnook Luigi, Mr. Crustacean, French Narrator, Incidentals, Incidental 108, Incidental 48, Incidental 60, Incidental 42, Incidental 41, Tom, Incidental 14, Incidental 67, Incidental 68, Incidental 107, Incidental 30A, Incidental 2, Incidental 73, Incidental 34, Incidental 63, Incidental 64, Incidental 20, Incidental 16, Incidental 37B, Incidental F18, Incidental F1, Incidental 1B, Incidental F6, Incidental F19, Incidental F2, Incidental 4, Incidental F17, Incidental 40, Incidental 15, Charlie, Incidental 118, Incidental F9, Incidental F4, Incidental F8, Incidental F24, Incidental F23, Incidental F3, Incidental F10, Incidental F12, Incidental F13, Incidental F14, Incidental F16, Incidental F11, Incidental 118C, Teen 2, Teen 4A, Teen 5, Teen 6, Teen 7, Teen 10, Teen 13, Teen 15, Fancy dandy fish, Underbite worker, Short construction worker, Worker fish, Pearl Krabs",Le Big Switch
"October 17, 2007",Andrew Overtoom,,2007,Vincent Waller,92,David Bowie as Lord Royal Highness,,,"""Picture Day""","""Le Big Switch""","['151-517', '151-518998']","40 minutes, 33 seconds",5,,"['Casey Alexander', 'Zeus Cervas', 'Aaron Springer (Good-Bye Atlantis song portion only)']",,,Paul Tibbitt,,8:00 pm,"['8.76', '9.22 (live+7)', '4.28 (w/Patchy)']","['Casey Alexander', 'Zeus Cervas', 'Aaron Springer (live-action writer only)', 'Steven Banks (additional material for the live-action sequence)', 'Dani Michaeli', 'Vincent Waller (songwriter only)', 'Paul Tibbitt (songwriter and live-action writer only)']","Paul Tibbitt, Paul Tibbitt, Paul Tibbitt, Patchy the Pirate, Potty the Parrot, SpongeBob SquarePants, Patrick Star, Eugene H. Krabs, King Neptune, Squidward Tentacles, Sandy Cheeks, Captain of the Sea Ship Atlantis, Sheldon J. Plankton, Incidentals, Incidental 42, Carol, Incidental 45, Incidental 152, Incidental 93, Incidental 30, Incidental 25, Incidental 1B, Nerd 1, Nerd 2, Dale, Incidental 107, Incidental 37A, Incidental 41, Prison guard 2, Atlantean citizens, Lord Royal Highness, Nando, Aggressive Case of the Sniffles, Germs, Jellyfish, Patar, SpongeGar, Squog, SpongeBot SteelPants, Gary the Snail, Party snails, Encino, Vulture, Norblock Five, Norblock Five",Atlantis SquarePantis
"August 2, 2007",Alan Smart,,2007,Vincent Waller,93a,,,,"""Pat No Pay""","""Atlantis SquarePantis""",151-529-7 (529a),"6 minutes, 59 seconds",5,"['""Pat No Pay""', '""BlackJack""']",Casey Alexander,,,Paul Tibbitt,,5:00 pm,3.33,"['Casey Alexander', 'Dani Michaeli', 'Steven Banks (additional story writing)']","Gary the Snail, SpongeBob SquarePants, Squidward Tentacles, Incidental 48, Incidental 64, Incidental 14, Fred, Incidental 40, Incidental 9, Incidental 106, Incidental 158, Incidental 158, Incidental K1, Incidental 37A, Incidental K6, Incidental K3, Green kid fish, Incidental 85, Incidental 81, Incidental 15, Trucker, Patrick Star, Mrs. Puff, Incidental 104, Photographer, Mrs. Puff's class",Picture Day
"August 2, 2007",Alan Smart,,2007,Vincent Waller,93b,,,,"""BlackJack""","""Picture Day""",151-529-4 (529b),"4 minutes, 2 seconds",5,"['""Picture Day""', '""BlackJack""']",Zeus Cervas,,,Paul Tibbitt,,5:07 pm,3.33,"['Zeus Cervas', 'Dani Michaeli']","Eugene H. Krabs, Patrick Star, SpongeBob SquarePants, French Narrator",Pat No Pay
"August 2, 2007",Alan Smart,,2007,Vincent Waller,93c,"['John DiMaggio as BlackJack', 'Marion Ross as Grandma SquarePants', 'Garnett Sailor as Captain Blue SquarePants']",,,"""Blackened Sponge""","""Pat No Pay""",151-525,"11 minutes, 37 seconds",5,"['""Picture Day""', '""Pat No Pay""']","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,5:15 pm,3.33,"['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']","Gary the Snail, SpongeBob SquarePants, BlackJack, Harold SquarePants, Margaret SquarePants, Perch Perkins, Grandma SquarePants, Captain Blue SquarePants, French Narrator, Clam, BlackJack's guard worm, Jellyfish",BlackJack
"August 3, 2007",Tom Yasumi,,2007,Vincent Waller,94a,Greg Baldwin as Jack M. Crazyfish,,,"""Mermaid Man vs. SpongeBob""","""BlackJack""",151-530,"10 minutes, 52 seconds",5,"""Mermaid Man vs. SpongeBob""","['Greg Miller', 'Aaron Springer']",,,Paul Tibbitt,,5:00 pm,3.28,"['Greg Miller', 'Aaron Springer', 'Eric Shaw']","SpongeBob SquarePants, Seahorse, Jack M. Crazyfish, Gary the Snail, Patrick Star, Sandy Cheeks, King Neptune, Eugene H. Krabs, Incidental 14, Incidental 107, Incidental 42, Incidental 105, Sandals, Squidward Tentacles, Incidental 41, Incidental 46, Gramma, Incidental 104, Incidental 47, Incidental 106, Dale",Blackened Sponge
"August 3, 2007",Tom Yasumi,,2007,Vincent Waller,94b,"['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Bob Joles as Man Ray']",,,"""The Inmates of Summer""","""Blackened Sponge""",151-528,11 minutes,5,"""Blackened Sponge""","['Nate Cash', 'Tuck Tucker']",,,Paul Tibbitt,,5:15 pm,3.28,"['Nate Cash', 'Tuck Tucker', 'Eric Shaw']","Realistic Fish Head, Barnacle Boy, Mermaid Man, Man Ray, Sheldon J. Plankton, Blue kid fish, Little girl, Green kid fish, Squidward Tentacles, Eugene H. Krabs, SpongeBob SquarePants, Karen Plankton, Incidentals, Incidental 37A, Incidental 141, Incidental 153, Incidental 144, Incidental 151, Incidental 103, Incidental 102, Incidental 142, Incidental 152, Incidental 48, Incidental 158, Incidental 143, Incidental 84, Incidental 82, Incidental 92, Incidental 81, Incidental 119, Incidental 87, Incidental 80, Incidental G3, Incidental 49, Incidental 42, Incidental G7, Incidental 14, Incidental 41, Incidental 7, Incidental G5, Incidental G2, Fred, Incidental G19, Incidental 114, Incidental 3, John, Incidental 6, Incidental 12, Incidental 30, Incidental 60, Incidental 67, Incidental 37B, Incidental 108, Incidental 104, Sandals, Incidental G4, Incidental G9, Incidental G6, Incidental 63, Incidental 40, Incidental 2, Incidental 69, Incidental 47, Incidental 68, Incidental 91, Incidental 22, Incidental 36, Charlie, Incidental 106, Incidental 13, Incidental 8, Incidental 105, Incidental 107, Incidental 15, Incidental 45, Incidental G13, Incidental 65, Incidental 73, Incidental 27, Incidental 30, Incidental 4, Incidental 63, Incidental 9, Incidental 90, Incidental 20, Incidental 31, Incidental 10, Incidental 16, Scooter, Incidental 155, Incidental 64, Orderly, Nerd 1, Perch Perkins, Ted",Mermaid Man vs. SpongeBob
"November 21, 2007",Alan Smart,,2007,Vincent Waller,95a,"['R. Lee Ermey as Warden', 'Mark Fite as Bernie, Prisoner #2, and Prisoner #4']",,,"""To Save a Squirrel""","""Mermaid Man vs. SpongeBob""",151-534,11 minutes,5,"""To Save a Squirrel""","['Chris Reccardi', 'Aaron Springer']",,,Paul Tibbitt,,8:00 pm,4.08,"['Chris Reccardi', 'Aaron Springer', 'Dani Michaeli']","Scallops and clams, Incidentals, Incidental 158, Incidental 67KID, Incidental 103, Incidental 152, Incidental 73KID, Dale, Incidental 100, Incidental 101, Incidental 109, SpongeBob SquarePants, Patrick Star, Camp Counselor Kraus, Octopus boy, Frank, Frank, Fred, Incidental 64, Charlie, Tom, Incidental 106, Incidental 37B, Incidental 25, Incidental 92, Incidental 30, Barney, Bernie, Warden, French Narrator, King Neptune",The Inmates of Summer
"November 23, 2007",Alan Smart,,2007,Vincent Waller,95b,,,,"""Pest of the West""","""The Inmates of Summer""",151-531,11 minutes,5,"""The Inmates of Summer""","['Luke Brookshier', 'Nate Cash']",,,Paul Tibbitt,,9:45 pm,4.26,"['Luke Brookshier', 'Nate Cash', 'Dani Michaeli']","Patrick Star, SpongeBob SquarePants, Sandy Cheeks, Squidward Tentacles",To Save a Squirrel
"March 24, 2008","['Andrew Overtoom', 'Tom Yasumi']",,2007,Vincent Waller,96,Vincent Waller as Foreman and Farmer fish,,,"""20,000 Patties Under the Sea""","""To Save a Squirrel""","['151-526', '151-527']","21 minutes, 50 seconds",5,,"['Luke Brookshier', 'Tom King']",,,Paul Tibbitt,,8:00 pm,6.14,"['Luke Brookshier', 'Tom King', 'Steven Banks', 'Richard Pursel']","Patchy the Pirate, Potty the Parrot, Squidward Tentacles, SpongeBob SquarePants, Patrick Star, Mollusks, Patrick Revere, Patrick Revere, Seahorses, Sluggo Star, Eugene H. Krabs, Great Great Grandpa Krabs, Jellyfish, Sandy Cheeks, Rosie Cheeks, Sherm SquarePants, Incidentals, Incidental 42, Incidental 103, Incidental 107, Old Man Walker, Incidental 82, Incidental 106, Incidental 41, Incidental 48, Incidental 49, Incidental 153, Incidental 6, Incidental 27, Incidental 1C, Incidental 64, Charlie, Sandals, Incidental 81, Incidental 31, Incidental 67, Incidental 46, Incidental 150, Incidental 8, Incidental 7, Incidental 63, Incidental 104, Incidental 45, SquareHead family, SquareShirt family, SpongeBuck SquarePants, Undertaker, Undertaker, Hopalong Squidward Tentacles, Polene Puff, Pappy Krabs, Tapey, Pecos Patrick, Dead Eye Plankton, Cowbones",Pest of the West
"November 23, 2007",Tom Yasumi,,2007,Vincent Waller,97a,"['Gene Simmons as Sea monster', 'Shannon Tweed as Mom Fish']",,,"""The Battle of Bikini Bottom""","""Pest of the West""",151-537,11 minutes,5,"""The Battle of Bikini Bottom""","['Chris Reccardi', 'Aaron Springer']",,,Paul Tibbitt,,9:15 pm,4.29,"['Chris Reccardi', 'Aaron Springer', 'Richard Pursel']","Jellyfish, SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Eugene H. Krabs, Sheldon J. Plankton, Incidentals, Incidental 42, Incidental 49, Incidental 118C, Incidental 40, Incidental 119, Judge 2, Karen Plankton, Incidental 152, Incidental 152, Incidental 115, Trucker, Mary, Jack M. Crazyfish, Sea monster","20,000 Patties Under the Sea"
"November 21, 2007",Andrew Overtoom,,2007,Vincent Waller,97b,,,,"""What Ever Happened to SpongeBob?""","""20,000 Patties Under the Sea""",151-538,11 minutes,5,"""20,000 Patties Under the Sea""","['Luke Brookshier', 'Nate Cash']",,,Paul Tibbitt,,8:30 pm,4.26,"['Luke Brookshier', 'Nate Cash', 'Eric Shaw']","Patrick Star, SpongeBob SquarePants, Incidentals, Fred, Incidental 42, Carol, Incidental 7, Incidental 46, Incidental 45, Incidental 68, Incidental 105, Incidental 107, Incidental 27, Incidental 85, Incidental 60, Dodo, Incidental 30, Incidental 30A, Incidental 31, Incidental 37B, Incidental 64, Incidental 40, Incidental 37A, Incidental 41, Incidental 81, Incidental 65, Incidental 13, Incidental 67, Charlie, Incidental 92, Incidental 13, Incidental 36, Incidental 65, Incidental 6, Incidental 83, Incidental 69, Incidental 9, Incidental 106, Incidental 108, Incidental 49, Incidental 101, Old Man Walker, Eugene H. Krabs, Squidward Tentacles",The Battle of Bikini Bottom
"October 13, 2008","['Alan Smart', 'Tom Yasumi']",,2007,Vincent Waller,98,"[""Ray Liotta as Bubble Poppin' Leader"", 'Mark Fite as Boss, Fish #7, Citizen', 'Paul Tibbitt as Fish #11']",,,"""The Two Faces of Squidward""","""The Battle of Bikini Bottom""","['151-535', '151-536']","21 minutes, 51 seconds",5,,"['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,8:00 pm,7.67,"['Casey Alexander', 'Zeus Cervas', 'Steven Banks']","Patchy the Pirate, Gary the Snail, SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Patrick Star, Margie Star, Sandy Cheeks, Sandy's robot, Mr. and Mrs. Dollar, Perch Perkins, Bob Preflumster, Incidentals, Incidental 154, Incidental 40, Incidental 22, Incidental 37B, Incidental 108, Incidental 103, Incidental 42, Pirate 12, Incidental 34, Incidental 27, Incidental 106, Incidental 46, Sandals, Incidental 107, Incidental 48, Fred, Old Man Walker, Anchovies, Incidental 30, Incidental 30A, Incidental 60, Incidental 41, Incidental 49, Incidental 7, Incidental 95, Incidental G15, Incidental G19, Incidental G12, Incidental 144, Incidental G2, Incidental G5, Incidental 142, Incidental G7, Incidental 2, Incidental G13, Incidental G10, Incidental 45, Incidental G6, Incidental 24, Incidental 9, Musician 3, Incidental CM13, Incidental CM23, Incidental 63, Judge 1, Judge 2, Judge 3, Construction foreman, Chubby customer, Blue kid fish, Incidental K1's mother, King Neptune, Triton, The Bubble Poppin' Boys, Greaser fish, Near Mint Comic Books cashier, Mayor, Keyboardist, Drummer, Balding guy, Mrs. Poecilia, Male cowfish, Nurse, Bodyguard, Tutu whale, Big fish, Green kid fish",What Ever Happened to SpongeBob?
